Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population",715346,"(+/- 3366 )",678122,"(+/- 7200 )",708409,"(+/- 5269 )",686297,"(+/- 5436 )",725634,"(+/- 447 )",713595,"(+/- 8310 )",660468,"(+/- 11651 )"
People,"Sex and Age",Male,344543,"(+/- 2432 )",326346,"(+/- 4631 )",345941,"(+/- 3833 )",336349,"(+/- 4056 )",359028,"(+/- 1753 )",346642,"(+/- 5708 )",310422,"(+/- 6656 )"
People,"Sex and Age",Female,370803,"(+/- 2436 )",351776,"(+/- 4656 )",362468,"(+/- 3359 )",349948,"(+/- 4308 )",366606,"(+/- 1741 )",366953,"(+/- 5678 )",350046,"(+/- 7883 )"
People,"Sex and Age","Under 5 years",40891,"(+/- 1259 )",42217,"(+/- 2131 )",40153,"(+/- 2161 )",42358,"(+/- 2389 )",40325,"(+/- 1371 )",41883,"(+/- 2696 )",40762,"(+/- 2651 )"
People,"Sex and Age","5 to 9 years",38836,"(+/- 2726 )",39603,"(+/- 3243 )",42841,"(+/- 3137 )",39902,"(+/- 3124 )",44782,"(+/- 2946 )",42896,"(+/- 3024 )",41509,"(+/- 3908 )"
People,"Sex and Age","10 to 14 years",52357,"(+/- 2909 )",44011,"(+/- 3400 )",46658,"(+/- 3242 )",48055,"(+/- 3369 )",44853,"(+/- 2839 )",48056,"(+/- 3296 )",37440,"(+/- 3348 )"
People,"Sex and Age","15 to 19 years",49123,"(+/- 1799 )",43990,"(+/- 3026 )",48023,"(+/- 2636 )",43135,"(+/- 2365 )",48079,"(+/- 2140 )",46261,"(+/- 2383 )",53598,"(+/- 3433 )"
People,"Sex and Age","20 to 24 years",42514,"(+/- 1815 )",46469,"(+/- 2850 )",53788,"(+/- 2468 )",41383,"(+/- 2448 )",44893,"(+/- 2019 )",38157,"(+/- 2369 )",50606,"(+/- 3732 )"
People,"Sex and Age","25 to 34 years",89384,"(+/- 2948 )",89934,"(+/- 3640 )",89779,"(+/- 3958 )",80162,"(+/- 2488 )",97027,"(+/- 1713 )",94740,"(+/- 4441 )",94950,"(+/- 5025 )"
People,"Sex and Age","35 to 44 years",85553,"(+/- 2596 )",81055,"(+/- 2931 )",83351,"(+/- 3789 )",81963,"(+/- 2639 )",89853,"(+/- 1866 )",96229,"(+/- 4445 )",75476,"(+/- 4672 )"
People,"Sex and Age","45 to 54 years",91122,"(+/- 2472 )",86722,"(+/- 2373 )",91677,"(+/- 3298 )",87644,"(+/- 2299 )",96120,"(+/- 1763 )",94947,"(+/- 3118 )",77941,"(+/- 3961 )"
