Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population",858910,"(+/- 4940 )",831343,"(+/- 3835 )",841456,"(+/- 7814 )",814998,"(+/- 4444 )",844006,"(+/- 6712 )"
People,"Sex and Age",Male,425122,"(+/- 3409 )",415415,"(+/- 2878 )",418141,"(+/- 4871 )",403336,"(+/- 2707 )",417929,"(+/- 4444 )"
People,"Sex and Age",Female,433788,"(+/- 3013 )",415928,"(+/- 3016 )",423315,"(+/- 4763 )",411662,"(+/- 3270 )",426077,"(+/- 4508 )"
People,"Sex and Age","Under 5 years",49061,"(+/- 1166 )",46524,"(+/- 1577 )",46146,"(+/- 1524 )",39830,"(+/- 1259 )",48954,"(+/- 1409 )"
People,"Sex and Age","5 to 9 years",54703,"(+/- 3251 )",48822,"(+/- 3044 )",44271,"(+/- 2704 )",40206,"(+/- 2798 )",48912,"(+/- 3148 )"
People,"Sex and Age","10 to 14 years",52415,"(+/- 3083 )",51726,"(+/- 3387 )",44617,"(+/- 2678 )",45525,"(+/- 2389 )",59578,"(+/- 3043 )"
People,"Sex and Age","15 to 19 years",53241,"(+/- 1818 )",48676,"(+/- 2011 )",44688,"(+/- 2101 )",51663,"(+/- 2065 )",53788,"(+/- 2205 )"
People,"Sex and Age","20 to 24 years",52135,"(+/- 1869 )",45319,"(+/- 2387 )",48144,"(+/- 2327 )",66665,"(+/- 1889 )",52724,"(+/- 1997 )"
People,"Sex and Age","25 to 34 years",126683,"(+/- 2415 )",102933,"(+/- 2794 )",152315,"(+/- 2650 )",100485,"(+/- 2638 )",110239,"(+/- 3127 )"
People,"Sex and Age","35 to 44 years",124144,"(+/- 2248 )",97713,"(+/- 2749 )",137241,"(+/- 2879 )",94330,"(+/- 2229 )",103405,"(+/- 2992 )"
People,"Sex and Age","45 to 54 years",112000,"(+/- 2346 )",101256,"(+/- 2627 )",109840,"(+/- 2322 )",90628,"(+/- 2335 )",105756,"(+/- 2544 )"
People,"Sex and Age","55 to 59 years",53057,"(+/- 2822 )",52508,"(+/- 3166 )",52407,"(+/- 3067 )",54793,"(+/- 2641 )",54467,"(+/- 3103 )"
People,"Sex and Age","60 to 64 years",53657,"(+/- 2820 )",62428,"(+/- 3055 )",47536,"(+/- 3055 )",57514,"(+/- 3044 )",55434,"(+/- 3102 )"
People,"Sex and Age","65 to 74 years",77678,"(+/- 1494 )",104417,"(+/- 1956 )",72636,"(+/- 2351 )",103155,"(+/- 2078 )",89710,"(+/- 1879 )"
People,"Sex and Age","75 to 84 years",35593,"(+/- 2018 )",48765,"(+/- 2181 )",29801,"(+/- 2165 )",53287,"(+/- 2515 )",43187,"(+/- 2216 )"
People,"Sex and Age","85 years and over",14543,"(+/- 1575 )",20256,"(+/- 2297 )",11814,"(+/- 1290 )",16917,"(+/- 1895 )",17852,"(+/- 1992 )"
People,"Sex and Age","Median age (years)",38.1,"(+/- 0.4 )",42.4,"(+/- 0.4 )",37.9,"(+/- 0.4 )",41.2,"(+/- 0.5 )",39.5,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",669145,"(+/- 3736 )",653071,"(+/- 3131 )",680020,"(+/- 5672 )",663509,"(+/- 3608 )",652380,"(+/- 5270 )"
People,"Sex and Age","65 years and over",127814,"(+/- 1845 )",173438,"(+/- 2233 )",114251,"(+/- 2606 )",173359,"(+/- 2243 )",150749,"(+/- 2085 )"
People,Race,"Total population",858910,"(+/- 4940 )",831343,"(+/- 3835 )",841456,"(+/- 7814 )",814998,"(+/- 4444 )",844006,"(+/- 6712 )"
