Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",717716,"(+/- 5377 )",768067,"(+/- 2588 )",724568,"(+/- 3440 )",710573,"(+/- 2109 )",731341,"(+/- 4364 )",714886,"(+/- 3008 )",710420,"(+/- 3463 )",735997,"(+/- 1553 )"
People,"Sex and Age",Male,357055,"(+/- 4332 )",381487,"(+/- 2044 )",364060,"(+/- 2339 )",343598,"(+/- 2308 )",358554,"(+/- 3291 )",361506,"(+/- 2175 )",357492,"(+/- 2408 )",367530,"(+/- 1869 )"
People,"Sex and Age",Female,360661,"(+/- 4024 )",386580,"(+/- 1997 )",360508,"(+/- 2326 )",366975,"(+/- 2159 )",372787,"(+/- 3664 )",353380,"(+/- 2324 )",352928,"(+/- 2223 )",368467,"(+/- 1976 )"
People,"Sex and Age","Under 5 years",38993,"(+/- 1840 )",43496,"(+/- 937 )",39349,"(+/- 1166 )",49868,"(+/- 1572 )",40947,"(+/- 1622 )",37751,"(+/- 1162 )",37360,"(+/- 873 )",42887,"(+/- 1301 )"
People,"Sex and Age","5 to 9 years",41167,"(+/- 2608 )",43153,"(+/- 2050 )",40257,"(+/- 2017 )",48555,"(+/- 2660 )",41314,"(+/- 2369 )",41286,"(+/- 2374 )",39801,"(+/- 2045 )",47221,"(+/- 2397 )"
People,"Sex and Age","10 to 14 years",49379,"(+/- 2601 )",46781,"(+/- 2145 )",43860,"(+/- 2091 )",52481,"(+/- 2935 )",45113,"(+/- 2818 )",43372,"(+/- 2571 )",46629,"(+/- 1956 )",47153,"(+/- 2511 )"
People,"Sex and Age","15 to 19 years",48996,"(+/- 2533 )",49012,"(+/- 1604 )",52896,"(+/- 1614 )",50653,"(+/- 1495 )",45904,"(+/- 2131 )",44003,"(+/- 1598 )",41381,"(+/- 1450 )",45721,"(+/- 1479 )"
People,"Sex and Age","20 to 24 years",40322,"(+/- 2513 )",68561,"(+/- 1938 )",65144,"(+/- 1416 )",54020,"(+/- 1695 )",41059,"(+/- 2103 )",44723,"(+/- 1448 )",37973,"(+/- 1367 )",43005,"(+/- 1441 )"
People,"Sex and Age","25 to 34 years",83033,"(+/- 2997 )",113479,"(+/- 1800 )",84762,"(+/- 1464 )",117639,"(+/- 3211 )",90218,"(+/- 3358 )",84724,"(+/- 2198 )",73572,"(+/- 1649 )",88338,"(+/- 1752 )"
People,"Sex and Age","35 to 44 years",90189,"(+/- 3197 )",97216,"(+/- 1450 )",80546,"(+/- 1614 )",89995,"(+/- 2220 )",93036,"(+/- 2947 )",84815,"(+/- 1713 )",81060,"(+/- 1269 )",89819,"(+/- 1927 )"
People,"Sex and Age","45 to 54 years",100702,"(+/- 3214 )",92929,"(+/- 1293 )",86146,"(+/- 1564 )",79531,"(+/- 2214 )",93874,"(+/- 2601 )",93748,"(+/- 1782 )",93327,"(+/- 1273 )",98100,"(+/- 1651 )"
People,"Sex and Age","55 to 59 years",55951,"(+/- 2883 )",51210,"(+/- 2506 )",51177,"(+/- 2592 )",38905,"(+/- 2439 )",51868,"(+/- 2536 )",55623,"(+/- 2734 )",58623,"(+/- 2422 )",56129,"(+/- 2344 )"
People,"Sex and Age","60 to 64 years",50408,"(+/- 2834 )",46514,"(+/- 2135 )",50525,"(+/- 2529 )",41932,"(+/- 2635 )",55506,"(+/- 3165 )",52710,"(+/- 2551 )",56083,"(+/- 2212 )",51577,"(+/- 2039 )"
People,"Sex and Age","65 to 74 years",69894,"(+/- 2415 )",68799,"(+/- 1289 )",74730,"(+/- 1313 )",52875,"(+/- 1800 )",73422,"(+/- 2332 )",75102,"(+/- 918 )",83694,"(+/- 1022 )",73156,"(+/- 866 )"
People,"Sex and Age","75 to 84 years",34554,"(+/- 2126 )",32125,"(+/- 1689 )",38852,"(+/- 1647 )",21852,"(+/- 1964 )",41042,"(+/- 2076 )",38667,"(+/- 1891 )",43956,"(+/- 1390 )",39008,"(+/- 1702 )"
People,"Sex and Age","85 years and over",14128,"(+/- 1728 )",14792,"(+/- 1519 )",16324,"(+/- 1507 )",12267,"(+/- 1623 )",18038,"(+/- 1673 )",18362,"(+/- 1852 )",16961,"(+/- 1249 )",13883,"(+/- 1339 )"
People,"Sex and Age","Median age (years)",41.1,"(+/- 0.5 )",36.9,"(+/- 0.3 )",39.0,"(+/- 0.4 )",32.9,"(+/- 0.4 )",41.3,"(+/- 0.4 )",41.9,"(+/- 0.4 )",44.7,"(+/- 0.3 )",40.7,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",555953,"(+/- 4495 )",607943,"(+/- 2195 )",574559,"(+/- 2269 )",532098,"(+/- 3613 )",576328,"(+/- 4746 )",565783,"(+/- 2210 )",558681,"(+/- 2466 )",570118,"(+/- 1275 )"
People,"Sex and Age","65 years and over",118576,"(+/- 3207 )",115716,"(+/- 1574 )",129906,"(+/- 1539 )",86994,"(+/- 2067 )",132502,"(+/- 3006 )",132131,"(+/- 1087 )",144611,"(+/- 1462 )",126047,"(+/- 1069 )"
People,Race,"Total population",717716,"(+/- 5377 )",768067,"(+/- 2588 )",724568,"(+/- 3440 )",710573,"(+/- 2109 )",731341,"(+/- 4364 )",714886,"(+/- 3008 )",710420,"(+/- 3463 )",735997,"(+/- 1553 )"
People,Race,"One race",698696,"(+/- 5827 )",743552,"(+/- 4612 )",710705,"(+/- 3765 )",679706,"(+/- 4374 )",717464,"(+/- 4887 )",701406,"(+/- 3988 )",696490,"(+/- 3447 )",719036,"(+/- 3359 )"
People,Race,White,628476,"(+/- 7282 )",660542,"(+/- 3767 )",674388,"(+/- 3888 )",351094,"(+/- 7037 )",659846,"(+/- 5918 )",660186,"(+/- 2929 )",660634,"(+/- 3493 )",662077,"(+/- 3090 )"
People,Race,"Black or African American",40798,"(+/- 3001 )",33402,"(+/- 2539 )",7846,"(+/- 1340 )",234575,"(+/- 5236 )",21218,"(+/- 3323 )",15080,"(+/- 1458 )",5661,"(+/- 1184 )",12052,"(+/- 1522 )"
People,Race,"American Indian and Alaska Native",1898,"(+/- 708 )",3727,"(+/- 443 )",3486,"(+/- 727 )",3294,"(+/- 963 )",2076,"(+/- 721 )",3448,"(+/- 840 )",13419,"(+/- 1307 )",19016,"(+/- 1194 )"
People,Race,Asian,13495,"(+/- 1813 )",33480,"(+/- 2069 )",17386,"(+/- 1432 )",31139,"(+/- 2548 )",24913,"(+/- 2138 )",17053,"(+/- 1440 )",12134,"(+/- 1145 )",15780,"(+/- 1409 )"
People,Race,"Native Hawaiian and Other Pacific Islander",262,"(+/- 217 )",194,"(+/- 135 )",142,"(+/- 130 )",268,"(+/- 132 )",158,"(+/- 163 )",123,"(+/- 147 )",538,"(+/- 321 )",276,"(+/- 255 )"
People,Race,"Some other race",13767,"(+/- 3476 )",12207,"(+/- 2405 )",7457,"(+/- 1391 )",59336,"(+/- 6043 )",9253,"(+/- 2516 )",5516,"(+/- 1597 )",4104,"(+/- 1268 )",9835,"(+/- 2415 )"
People,Race,"Two or more races",19020,"(+/- 2761 )",24515,"(+/- 3610 )",13863,"(+/- 2163 )",30867,"(+/- 4130 )",13877,"(+/- 2175 )",13480,"(+/- 2359 )",13930,"(+/- 1573 )",16961,"(+/- 2690 )"
People,"Hispanic or Latino and Race","Total population",717716,"(+/- 5377 )",768067,"(+/- 2588 )",724568,"(+/- 3440 )",710573,"(+/- 2109 )",731341,"(+/- 4364 )",714886,"(+/- 3008 )",710420,"(+/- 3463 )",735997,"(+/- 1553 )"
